restname,address_x
Cafe Dad,"3 rue Georges Picquart, 75017 Paris France"
KAITEN,"63 rue Pierre Charron, 75008 Paris France"
Pinot Grigio,"7 rue Charlemagne, 75004 Paris France"
Max Y Jeremy,"6 rue Charles Francois Dupuis, 75003 Paris France"
Thai Yim 2,"70 rue du Chateau des Rentiers, 75013 Paris France"
Le Dit Vin,"68 rue Blanche, 75009 Paris France"
La Bonne Mer,"22 rue du Moulin des Pres, 75013 Paris France"
Relais De La Butte,"12 rue Ravignan, 75018 Paris France"
Les Rendez-Vous Italiens,"152 rue de Charenton, 75012 Paris France"
Chez Raoul,"3 rue Poissonniere, 75002 Paris France"
Cafe Buci,"52 rue Dauphine, 75006 Paris France"
Baan Boran,"43 rue de Montpensier, 75001 Paris France"
Pedra Alta,"25 rue Marbeuf, 75008 Paris France"
Le Pain Quotidien,"25 rue de Varenne, 75007 Paris France"
La French Guinguette,"58 rue Rambuteau, 75003 Paris France"
Cafe Marcel,"23 rue des Dames, 75017 Paris France"
L' Affame,"28 av de la Porte des Poissonniers, 75018 Paris France"
TouyTouyT,"242 rue du Faubourg Saint Martin 242 Rue du Faubourg St Martin, 75010 Paris France"
Le Sarah Bernhardt,"2 Place du Chatelet, 75004 Paris France"
Palais de Vandan,"30 rue Paul Fort, 75014 Paris France"
B. Bell broche,"74 Rue Turbigo Paris, 75003 Paris France"
Sur Un Arbre Perche,"1 rue du 4 Septembre, 75002 Paris France"
Caffe Toscano,"34 rue des Saints Peres, 75007 Paris France"
Le Palmarium,"11 Rue Joubert, 75009 Paris France"
Le Wok Saint Germain,"45 rue Dauphine, 75006 Paris France"
Momen'Tea,"5 avenue de l Opera Forum Des Halles, niveau -2, zone canopée, 75001 Paris France"
Pret a Manger,"57 rue des Petits Champs, 75001 Paris France"
Casa Di Peppe,"222 rue Saint Jacques, 75005 Paris France"
ZioTony,"37 rue Ballu, 75009 Paris France"
Basilic & Co Paris (Voltaire),"58 boulevard Voltaire, 75011 Paris France"
Amalfi,"86 boulevard de Picpus, 75012 Paris France"
Hotel du Nord Restaurant,"102 Quai de Jemmapes, 75010 Paris France"
Cafe Biergit,"8 rue des Batignolles, 75017 Paris France"
Le Tablier Rouge,"40 rue de la Chine, 75020 Paris France"
Le Bistro Du Parisien,"31 rue Pelleport, 75020 Paris France"
Le beguin,"rue du Cardinal Mercier 2 rue du Cardinal Mercier, 75009 Paris France"
Zouzou,"8 rue Leopold Bellan, 75002 Paris France"
La Plume Rive Droite,"43 rue Etienne Marcel, 75001 Paris France"
Le Duo D&S,"3 rue des Feuillantines, 75005 Paris France"
Creperie Montorgueil,"37 rue Mauconseil Chatelet Les Halles,rue Montorgueil, Palais Royal, Musée du Louvre, rue rivoli, 75001 Paris France"
Le Petit Pantheon,"47 rue Monge, 75005 Paris France"
Les Elephants,"120 rue Legendre, 75017 Paris France"
Al Dente,"38 rue de Varenne, 75007 Paris France"
L'Heure Bleue,"57 rue Arthur Rozier, 75019 Paris France"
La Petite Louise,"65 rue du Faubourg Saint Martin, 75010 Paris France"
La Trattoria de Roberta Aux Abbesses,"5 B rue la Vieuville, 75018 Paris France"
Sukhothai,"12 rue du Pere Guerin, 75013 Paris France"
Maria Magdalena,"41 rue de la Rochefoucauld, 75009 Paris France"
La Dame de Paris,"11 Rue D'Arcole, 75004 Paris France"
Amo,"8 rue du Hameau 75015, 75015 Paris France"
Le Pavillon Montsouris,"20 rue Gazan, 75014 Paris France"
Le Beldi,"10 rue Mignard, 75116 Paris France"
Chez Thomas,"17 B rue de Lourmel Metro Dupleix Ligne 6, 75015 Paris France"
La Halle Aux Grains,"2 rue de Viarmes, 75001 Paris France"
Sunday in Soho,"7 rue Saint Marc, 75002 Paris France"
Chez Lionel,"rue de Chevreuse, 75006 Paris France"
Le Zo,"13 rue Montalivet, 75008 Paris France"
Fleurus Cafe,"39 avenue Kleber, 75116 Paris France"
Y.IZAKAYA,"14 rue des Dames, 75017 Paris France"
Restaurant libanais Ehden,"69 rue de Maubeuge, 75010 Paris France"
HOT VOG,"10 B rue Vavin, 75006 Paris France"
L'Entrecote du 15eme,"23 rue Desaix Face au journal officiel, 75015 Paris France"
Washi,"3 rue Peclet, 75015 Paris France"
Le Charonne,"25 rue de Charonne, 75011 Paris France"
Le Maximilien,"28 boulevard Diderot, 75012 Paris France"
Mamacita Taqueria,"14 rue Rougemont, 75009 Paris France"
Lombardi,"12 rue des Lombards, 75004 Paris France"
Traiteur Italien Da Piero,"59 avenue de Suffren 59 Avenue de Suffren, 75007 Paris France"
Chamroeun Crimee,"4 rue Mathis, 75019 Paris France"
Le Bar Botaniste,"10, avenue d'Lena Shangri-La Hotel, Lobby Level, 75116 Paris France"
Songsan,"20 rue Marmontel, 75015 Paris France"
passage de pondichery,"84 Passage Brady, 75010 Paris France"
Creperie du Vieux Journal,"17 rue Brea, 75006 Paris France"
Matsuri Victor Hugo,"119-121, avenue Victor Hugo, 75116 Paris France"
Bubbolitas Paris - Bubble Tea Bar,"17 rue Quincampoix, 75004 Paris France"
Miz,"101 rue Nollet, 75017 Paris France"
99 Haussmann,"99 boulevard Haussmann Hôtel Bowmann, 75008 Paris France"
Cafe Les Rosiers,"2 rue des Rosiers, 75004 Paris France"
Olio Pane Vino,"44 rue Coquilliere, 75001 Paris France"
Les Affranchis,"98 rue de Tolbiac, 75013 Paris France"
Le Bar des Pres,"25 rue du Dragon Cyril Lignac, 75006 Paris France"
L'Estaminet,"33 rue de Navarin Angle de la rue Henri Monnier, 75009 Paris France"
La Fabbrica Saint Georges,"40 rue Notre Dame de Lorette, 75009 Paris France"
Volver Dauphine,"18 rue Dauphine, 75006 Paris France"
Jolis Momes,"29 boulevard Arago, 75013 Paris France"
Casa Pelletier,"101 rue du Chateau, 75014 Paris France"
L’Atelier de Lili,"39 rue Saint Maur En Face De L'atelier Des Lumières, 75011 Paris France"
Cuba Compagnie cafe,"48 boulevard Beaumarchais, 75011 Paris France"
Auberge de Venise Bastille,"2 rue de la Bastille, 75004 Paris France"
Mi Va Mi,"23 rue des Rosiers, 75004 Paris France"
Montecito,"27 boulevard des Capucines, 75002 Paris France"
Zig Zag Cafe,"58 boulevard Garibaldi, 75015 Paris France"
Yasoya,"88 rue Saint Martin, 75004 Paris France"
El Sol Comptoir Espagnol,"22 rue de Ponthieu, 75008 Paris France"
Noura,"21 avenue Marceau, 75116 Paris France"
Cafe Delmas,"2 Place de la Contrescarpe, 75005 Paris France"
BoBun Moi,"25 rue de Cronstadt, 75015 Paris France"
Romantica Caffe Invalides,"96 boulevard de la Tour Maubourg, 75007 Paris France"
Poke Bar Opera,"24 rue du 4 Septembre, 75002 Paris France"
Sorella,"13 avenue Bugeaud, 75116 Paris France"
Le Toucan,"10 avenue de la Republique, 75011 Paris France"
L'Empire du 8 Eme,"11 rue Jean Mermoz Champs élysées, 75008 Paris France"
LE PETIT THAI 7eme,"62 rue de Bellechasse, 75007 Paris France"
Perlita,"6 avenue de la Porte de Montreuil, 75020 Paris France"
Mala Bavo,"171 rue Saint Denis, 75002 Paris France"
Dolsotbap,"77 rue Taitbout, 75009 Paris France"
Les Fines Gueules,"2 rue de la Vrilliere, 75001 Paris France"
Chez nouille,"1 rue Faidherbe, 75011 Paris France"
Au Tour Du Vin,"50 rue de Maubeuge, 75009 Paris France"
Le Pont de Sichuan,"86 rue de Richelieu, 75002 Paris France"
Le Bal Cafe,"6 impasse de la Defense, 75018 Paris France"
Elaichi,"7 rue du Faubourg Saint Martin, 75010 Paris France"
Restaurant L'Oyat,"11 rue Notre Dame de Nazareth, 75003 Paris France"
L'Escale 40,"40 boulevard de l Hopital, 75005 Paris France"
Onoto,"8 rue Cavallotti, 75018 Paris France"
L'Artisan Libanais Oberkampf,"46 rue Oberkampf, 75011 Paris France"
Assaporare,"7 rue Saint Nicolas, 75012 Paris France"
Grande Brasserie,"6 rue de la Bastille, 75004 Paris France"
Afendi,"84 rue du Faubourg Saint Denis, 75010 Paris France"
Hippopotamus,"12-14 rue de Rome, 75008 Paris France"
Yoom,"20 rue des Martyrs, 75009 Paris France"
La Pizzeria di Rebellato,"138 rue de la Pompe, 75116 Paris France"
Mandarin Saint-Cyr Restaurant,"47 boulevard Gouvion Saint Cyr, 75017 Paris France"
Pita Li Beirut,"12 boulevard des Batignolles, 75017 Paris France"
Noush,"60 rue Saint Lazare, 75009 Paris France"
Restaurant Pania,"159 Quai de Valmy, 75010 Paris France"
Chez Suzette Creperie Grands Boulevards,"23 boulevard Poissonniere, 75002 Paris France"
Maison Burger,"6 rue Gregoire de Tours 6 Rue Gregoire de Tours, 75006 Paris France"
Brasserie de la Bourse,"27 rue Jean Jacques Rousseau, 75001 Paris France"
Delices Lepic,"14 rue Lepic, 75018 Paris France"
Le Franc Tireur,"34 rue d Armaille, 75017 Paris France"
La Taverne des Buttes Chaumont,"41 avenue Secretan, 75019 Paris France"
Siam Bangkok,"31 rue du Faubourg Montmartre, 75009 Paris France"
L'Esprit De Famille,"10 boulevard Morland, 75004 Paris France"
Le Petit Olympia,"6 rue de Caumartin, 75009 Paris France"
Lobineau,"7 rue Lobineau, 75006 Paris France"
Tatou Pizza,"68 rue Brancion, 75015 Paris France"
Le Stella,"133 avenue Victor Hugo, 75116 Paris France"
Le Petit Machon,"158 rue Saint Honore, 75001 Paris France"
Le Monde des Grillades,"4 rue de Lappe, 75011 Paris France"
Restaurant 1001 nuits,"41 quai Panhard Et Levassor, 75013 Paris France"
Lockwood,"73 rue d Aboukir, 75002 Paris France"
Le Second Empire,"62 rue de la Verrerie, 75004 Paris France"
Le Capone,"8-10 Avenue du Trone, 75012 Paris France"
Mazurka,"3 rue Andre del Sarte, 75018 Paris France"
Le puits de legumes,"18 rue du Cardinal Lemoine, 75005 Paris France"
Romy's Bar Restaurant,"123 boulevard de Magenta, 75010 Paris France"
Au Tramway,"253 avenue Daumesnil, 75012 Paris France"
Sellae,"18 rue des Wallons 13th Arr., 75013 Paris France"
Cafune Paris,"61 rue des Batignolles, 75017 Paris France"
Zagros,"58 boulevard de Menilmontant, 75020 Paris France"
Bakus Vendome,"9 rue des Capucines, 75001 Paris France"
Kinugawa Vendome,"9 rue du Mont Thabor, 75001 Paris France"
Le Balto,"15 rue Mazarine, 75006 Paris France"
Vantre,"19 rue de la Fontaine au Roi, 75011 Paris France"
Le Chansonnier,"14 rue Eugene Varlin Angle rue eugene varlin et Pierre dupont, 75010 Paris France"
Le Verre Taquin,"22 rue Juliette Dodu, 75010 Paris France"
Pulcinella Paris 16,"4 avenue Bugeaud, 75116 Paris France"
Le Saint O,"221 rue Saint Honore L'entrée est au 13 rue d'Alger, 75001 Paris France"
Tigermilk South Pigalle,"72 Rue du Faubourg Montmartre, 75009 Paris France"
Pizzu,"22 rue Beranger, 75003 Paris France"
Panda Panda,"21 rue Juliette Dodu, 75010 Paris France"
Mitao,"73 rue Jean Baptiste Pigalle, 75009 Paris France"
Oh My Noodle,"10 rue du Colisee, 75008 Paris France"
Les Oudayas,"5 rue de Nemours, 75011 Paris France"
Le Bordeluche,"103 rue des Dames, 75017 Paris France"
Cafe Arthur et Juliette,"51 rue des Morillons, 75015 Paris France"
"Le Galway, Irish Pub","13 quai des Grands Augustins, 75006 Paris France"
Boutique Yam'Tcha Maison de The,"4 rue Sauval, 75001 Paris France"
Carrousel Francais,"12 rue de Turbigo, 75001 Paris France"
Orphee,"30 rue Broca, 75005 Paris France"
Pates Thai,"3 rue Boussingault, 75013 Paris France"
The 202 Rivoli Restaurant,"202 rue de Rivoli, 75001 Paris France"
Le Boui Boui,"11 rue Marie Stuart, 75002 Paris France"
Pinzuti,"212 rue Marcadet, 75018 Paris France"
La Regalia,"1 rue de la Convention, 75015 Paris France"
Escale a Saigon,"41 rue de la Tombe Issoire, 75014 Paris France"
Le Mauritius,"3 rue Ernest Cresson, 75014 Paris France"
Milou Faubourg Saint Antoine Paris,"1 rue du Faubourg Saint Antoine Restaurant Milou, 75011 Paris France"
Le Pure Cafe,"14 rue Jean Mace, 75011 Paris France"
Paradis Thai,"132 rue de Tolbiac, 75013 Paris France"
Les Saveurs Du Sichuan,"34 rue Friant, 75014 Paris France"
La Fourmi,"74 rue des Martyrs, 75018 Paris France"
Les Mascareignes,"202 boulevard Voltaire, 75011 Paris France"
Comptoir Brochant,"47 rue Brochant 75017, 75017 Paris France"
The Little Italy,"5 Place de Clichy, 75017 Paris France"
Social Square,"165 rue du Temple, 75003 Paris France"
Pizza Clip Ste,"13 B avenue du Pere Lachaise, 75020 Paris France"
Kurry Up,"5 rue Rennequin, 75017 Paris France"
CRISPY SOUL Paris 15,"101 Rue Brancion, 75015 Paris France"
Viet Thai,"201 avenue de Choisy, 75013 Paris France"
The Cricketer Pub,"41 rue des Mathurins, 75008 Paris France"
Thai Express,"33 rue Jacques Hillairet, 75012 Paris France"
Extra Kandi,"22 rue Biot, 75017 Paris France"
La Bonne Heure,"72 rue du Moulin des Pres, 75013 Paris France"
Chez Vong,"10 rue de la Grande Truanderie, 75001 Paris France"
Le PariGi,"30 rue de la Grande Truanderie, 75001 Paris France"
La Villa des Ternes,"35 rue Guersant, 75017 Paris France"
Le Zinc du 16,"58 rue de la Faisanderie Brasserie le Zinc du 16, 75116 Paris France"
Le P'tit Zinc,"38 avenue Ledru Rollin, 75012 Paris France"
Samrana,"47 B rue d Orsel, 75018 Paris France"
Monsieur Bleu,"20 avenue de New York Palais de Tokyo, 75116 Paris France"
Nanashi,"31 rue de Paradis, 75010 Paris France"
Cupkie - Cookie Dough a la Francaise,"26 rue Monge, 75005 Paris France"
Creperie Elo Bastille,"7 rue Saint Antoine Bastille, 75004 Paris France"
La Poule au Pot,"121 rue de l Universite, 75007 Paris France"
L'Arc Cafe,"27 avenue Carnot, 75017 Paris France"
Maison Edgar,"232 boulevard Raspail, 75014 Paris France"
Gran Caffe Convivium,"28 rue Marbeuf, 75008 Paris France"
Filakia Jussieu,"31 rue Linne, 75005 Paris France"
Arcimboldo,"22 rue Cadet, 75009 Paris France"
Zen Zoo,"13 rue Chabanais, 75002 Paris France"
Pho 18,"18 rue Philibert Lucot, 75013 Paris France"
Le Cafe Dalayrac,"2 rue Dalayrac, 75002 Paris France"
A La Ville de Petrograd,"13 rue Daru, 75008 Paris France"
Mamabali,"8 rue Guillaume Bertrand, 75011 Paris France"
Le Palais de Raja Maharaja,"21 rue d Ouessant, 75015 Paris France"
Chez Prosper,"7 avenue du Trone, 75011 Paris France"
Mamie Sushi,"4 rue Brantome, 75003 Paris France"
Loyo,"18 rue Bachelet, 75018 Paris France"
Restaurant A l'Improviste,"21 rue Mederic, 75017 Paris France"
Le Bouquet de Grenelle,"68 avenue de la Motte Picquet, 75015 Paris France"
Orient Extreme,"21 rue Bayard, 75008 Paris France"
Les Demoiselles Restaurant Cafe Paris 17,"23 rue Leon Jost, 75017 Paris France"
Au Sauvignon,"Saint Germain 80 rue des Saints Peres, 75007 Paris France"
Hippopotamus,"30 Place D Italie Centre Commercial Italie 2, 75013 Paris France"
Baja,"34 Alle De Vivaldi, 75012 Paris France"
Tran Tran Zai,"3 Rue de L'ecole Polytechnique, 75005 Paris France"
Guido De Luca,"14 rue de Thann, 75017 Paris France"
Happy Grill,"22 rue Fremicourt, 75015 Paris France"
La Phyliale,"12 rue Bayen, 75017 Paris France"
Le Cambodge - Montmartre,"20 rue Yvonne le Tac 75018, 75018 Paris France"
Rivages,"1 rue Scribe, 75009 Paris France"
Le Mary Celeste,"1 rue Commines, 75003 Paris France"
Monsieur,"80 boulevard Richard Lenoir Near Metro St Ambroise Line 9 Or Metro R Lenior Ligne 5, 75011 Paris France"
La Focaccia,"9 rue Joseph de Maistre, 75018 Paris France"
Le Danton,"103 boulevard Saint Germain, 75006 Paris France"
Ninon,"68 rue du Cardinal Lemoine, 75005 Paris France"
Di Sapri,"115 T rue Ordener, 75018 Paris France"
L'Ecir,"59 boulevard Saint Jacques, 75014 Paris France"
Gourmet Gourmand,"12 rue Parrot, 75012 Paris France"
Les Caves de Reuilly,"11 boulevard de Reuilly, 75012 Paris France"
Les Ursulines,"56 rue Gay Lussac, 75005 Paris France"
Restaurant Peruvien El Chalan,"6 rue Lefebvre, 75015 Paris France"
L'Imperial,"240 Rue de Rivoli, 75001 Paris France"
Rebellato Giulio,"136 rue de la Pompe, 75116 Paris France"
Le Calbar,"82 rue de Charenton, 75012 Paris France"
MUXU,"16 rue Deguerry, 75011 Paris France"
La Bourse et La Vie,"12 rue Vivienne, 75002 Paris France"
Cafe Philippe,"14 rue Dupetit Thouars, 75003 Paris France"
La Brasserie Italienne,"73 avenue Kleber, 75116 Paris France"
Magna,"48 rue Notre Dame de Lorette, 75009 Paris France"
Chez Rosito,"4 rue du Pas de la Mule, 75003 Paris France"
Oh Puree!,"8 rue Tournefort, 75005 Paris France"
Oresto,"Boulevard Gouvion St Cyr 55 bd Gouvion St Cyr, 75017 Paris France"
Lobster Bar,"41 rue Coquilliere, 75001 Paris France"
Bistrot Le Square,"7 Square Bolivar, 75019 Paris France"
Chez Farhat,"8 rue Raymond Losserand, 75014 Paris France"
Yikou,"49 rue de l Aqueduc Canal Saint Martin, Métro Louis Blanc, 75010 Paris France"
L'Art Source,"6 rue Marie Stuart, 75002 Paris France"
Cali Uptown,"36 rue de Paradis, 75010 Paris France"
Le caveau du palais,"19 Place Dauphine, 75001 Paris France"
HD Diner Opera,"25 boulevard des Italiens, 75002 Paris France"
Manhattn's Burgers Montorgueil,"59 rue Montorgueil, 75002 Paris France"
Le Bar Long,"37 avenue Hoche, 75008 Paris France"
VINGT VINS D'ART,"16 rue de Jouy, 75004 Paris France"
Siam City,"19 rue Ferdinand Fabre, 75015 Paris France"
Atmosphere,"49 rue Lucien Sampaix, 75010 Paris France"
Ammazza,"5 rue Saint Sabin, 75011 Paris France"
Lyoom Cantine,"48 rue Jean Pierre Timbaud, 75011 Paris France"
Bar a Iode Charonne,"18 rue Jean Mace, 75011 Paris France"
Pietro Ristorante,"65 boulevard de Vaugirard, 75015 Paris France"
Les Maquereaux,"Quai de L'Hotel de Ville Pont Louis Philippe, 75004 Paris France"
la Violette,"11 avenue Corentin Cariou, 75019 Paris France"
Prik Thai,"4, rue Louise Emilie de la Tour d'Auvergne, 75009 Paris France"
Pong Crabe,"82 rue Halle, 75014 Paris France"
Alea,"39 rue Lamarck, 75018 Paris France"
Tigermilk Sentier,"77 rue d Aboukir, 75002 Paris France"
Le Lhassa,"13 rue de la Montagne Ste Genevieve, 75005 Paris France"
Le Roi Du Couscous,"112 boulevard de Grenelle, 75015 Paris France"
Founti Agadir,"117 rue Monge, 75005 Paris France"
L'Anecdote,"237 rue de Bercy, 75012 Paris France"
Tchaikana de Boukhara,"53 rue Amelot, 75011 Paris France"
Le 12-15,"39 rue de Caumartin, 75009 Paris France"
Le P'tit Bistrot,"8 rue Saint Martin, 75004 Paris France"
Le Cedre,"6 rue Mouffetard, 75005 Paris France"
Daroco 16,"3 Place Clement Ader, 75016 Paris France"
Le Bistrot Tocqueville,"67 rue de Tocqueville, 75017 Paris France"
Hanoi Corner,"7 rue Blanche, 75009 Paris France"
Le Malabar,"88 Rue Saint-Dominique 75007, 75007 Paris France"
JIA YAN,"5 rue Humblot, 75015 Paris France"
HD Diner Rivoli,"2 rue du Roule, 75001 Paris France"
Bibimbap,"32 boulevard de l Hopital, 75005 Paris France"
Le Montaigne,"7 rue de Ponthieu, 75008 Paris France"
KOKO BISTRO,"14 quai de la Loire, 75019 Paris France"
Papillon Japan Street Food,"129 rue Mouffetard, 75005 Paris France"
Cafe d'Albert,"117 rue Ordener, 75018 Paris France"
Taitu Cuisine Ethiopienne,"1 Bis Rue Bleue, 75009 Paris France"
Gusto Italia Amelie,"11 Rue Amelie, 75007 Paris France"
Lily Wang,"40 avenue Duquesne, 75007 Paris France"
Aux Produits du Sud Ouest,"21 Rue d'Odessa, 75014 Paris France"
Chez Janny,"22 boulevard Saint Germain, 75005 Paris France"
Brasserie Le Bourbon,"1 Place du Palais Bourbon, 75007 Paris France"
JIN Saint-Honore,"6 rue de la Sourdiere, 75001 Paris France"
l' Ebouillante,"6 rue des Barres, 75004 Paris France"
Au Club des Siciliens,"18 rue du Dragon Saint-germain des Pres, 75006 Paris France"
Noura Opera,"29 boulevard des Italiens, 75002 Paris France"
ZAOKA,"3 rue des Patriarches, 75005 Paris France"
Le Chambertin,"38 boulevard de Bercy, 75012 Paris France"
Les Athletes,"6 rue des Colonnes, 75002 Paris France"
Rang,"50 Rue de la Fontaine au Roi Metro Goncourt or Republic, 75011 Paris France"
Shabestan - Champs-Elysees,"5 rue du Commandant Riviere, 75008 Paris France"
Barioca,"30 rue Saint Denis, 75001 Paris France"
Havanita,"11 rue de Lappe, 75011 Paris France"
Aarchna,"19 rue du Telegraphe, 75020 Paris France"
Ozone - Restaurant Thai & Bar a Vins,"67 boulevard de Vaugirard, 75015 Paris France"
Les Vins des Dames,"42 rue des Dames, 75017 Paris France"
Chez Julien,"1 rue du Pont Louis Philippe, 75004 Paris France"
Le 12eme Cru,"25 avenue du Bel Air, 75012 Paris France"
Ciel de Paris,"33 avenue du Maine 56th Floor, 75015 Paris France"
Manna,"44 rue de Lourmel, 75015 Paris France"
A La Fregate,"30 avenue Ledru Rollin, 75012 Paris France"
Sunset,"100 rue Ordener, 75018 Paris France"
Hippolyte,"5 rue Notre Dame de Lorette, 75009 Paris France"
Chez Toye,"39 rue Montmartre, 75002 Paris France"
Le Lys d'Or,"2 rue Chaligny, 75012 Paris France"
Gueuleton,"7 Rue Guersant, 75017 Paris France"
Grand Beau,"7 rue Linois Centre Commercial Beaugrenelle, 75015 Paris France"
Bellota-BellotaR Tour Eiffel,"18 rue Jean Nicot, 75007 Paris France"
NewNew Restaurant,"Impasse Beaubourg Au fond de l'impasse Beaubourg, situé à côté de la galerie Templon, 75003 Paris France"
Azteca,"7 rue Sauval, 75001 Paris France"
Le Dellys,"5 Rue des Deux Gares, 75010 Paris France"
MIGNON cafe,"67 rue Caulaincourt, 75018 Paris France"
Framboise,"8 rue Rougemont, 75009 Paris France"
ChaCha Et Compagnie,"6 rue Brantome, 75003 Paris France"
VineVieTable,"43 rue Dutot, 75015 Paris France"
Hawaiian Poke,"152 rue Montmartre, 75002 Paris France"
Asia Room,"16 rue des Ecoles, 75005 Paris France"
Coq En Ville,"73 avenue Parmentier, 75011 Paris France"
La Gargamelle,"43 rue la Fayette, 75009 Paris France"
Petrelle,"34 rue Petrelle, 75009 Paris France"
Pizza Vesuvio - George V,"25 rue Quentin Bauchart, 75008 Paris France"
Ferdi,"32 rue du Mont Thabor, 75001 Paris France"
Big Fernand Paris 1er,"40 Place du Marche Saint Honore, 75001 Paris France"
Comme Promis,"5 rue Clisson, 75013 Paris France"
Radioeat,"116 avenue du President Kennedy Maison de la radio, 1er étage, 75016 Paris France"
Bistro Caminito,"46 rue de Clery, 75002 Paris France"
le troubadour,"4 rue poulbot Montmartre, 75018 Paris France"
L'Aller Retour Oberkampf,"11 rue Crespin du Gast, 75011 Paris France"
Bodhi Vegan,"23 avenue Claude Vellefaux, 75010 Paris France"
Grand Cafe d'Athenes,"74, rue du Faubourg Saint Denis, 75010 Paris France"
Le Comptoir,"18 avenue Rene Coty Face À La Sortie Des Catacombes, 75014 Paris France"
La Margherita,"59 avenue du General Michel Bizot, 75012 Paris France"
Vila Real,"10 rue de Domremy, 75013 Paris France"
Mamie Bonne Nouvelle,"35 boulevard de Bonne Nouvelle, 75002 Paris France"
Nouilles Vivantes,"100 rue Blanche, 75009 Paris France"
Pres de Seine,"21 rue de Seine, 75006 Paris France"
Rice Trotters Colisee,"22 rue du Colisee, 75008 Paris France"
Teppanyaki Sushi,"88 rue de Levis, 75017 Paris France"
Loliva,"74 boulevard de Menilmontant, 93100 Paris France"
Shika,"19 rue Jean Mermoz, 75008 Paris France"
Siffleur de ballons,"34 rue de Citeaux, 75012 Paris France"
Bistrot Dupleix,"62 boulevard de Grenelle, 75015 Paris France"
Chez Lena et Mimile,"Mouffetard 32 rue Tournefort, 75005 Paris France"
Alamesa,"99 rue des Dames, 75017 Paris France"
Papa Yoyo,"40 rue de Gergovie, 75014 Paris France"
Nello,"16 B rue Dufrenoy, 75116 Paris France"
Les Parisiens Restaurant by Thibault Sombardier,"5 rue du Pre aux Clercs Pavillon Faubourg Saint-Germain Hotel, 75007 Paris France"
L'Atelier Artisan Crepier,"10 rue Mabillon, 75006 Paris France"
Bel Ordinaire,"5 rue de Bazeilles, 75005 Paris France"
il giramondo,"175 rue de Grenelle, 75007 Paris France"
Au Cochon De Lait,"23 avenue Corentin Cariou, 75019 Paris France"
L'As Du Poulet,"19 rue Delbet, 75014 Paris France"
Le Touring,"61 avenue de la Grande Armee, 75116 Paris France"
Le Palais De La Griserie,"13 rue Lagrange Metro Ligne 10 : Maubert Mutualite, 75005 Paris France"
La Boutique des Vins,"33 rue de l Arcade Passage Puteaux, 75008 Paris France"
Yolo,"12 avenue de la Republique, 75011 Paris France"
O Comptoir Du Sud-Ouest,"19 rue de Miromesnil, 75008 Paris France"
Sancerre Rive Gauche,"22 avenue Rapp, 75007 Paris France"
L'Etape,"89 rue de la Convention, 75015 Paris France"
Restaurant Le Coq,"2 Place du Trocadero, 75116 Paris France"
Le Madeleine C,"5 rue de Castellane, 75008 Paris France"
Au Derrick Catalan,"346 rue Lecourbe, 75015 Paris France"
Berty,"124 boulevard Vincent Auriol, 75013 Paris France"
Gemma,"63 rue Traversiere, 75012 Paris France"
Bistrattoria Nonna RIta,"4 rue Marsoulan, 75012 Paris France"
Creperie des pecheurs,"27 rue Saint Andre des Arts Latin Quarter, 75006 Paris France"
Baobao Tea,"10 rue Dauphine, 75006 Paris France"
Tam Restaurant Mazarine,"43 rue Mazarine, 75006 Paris France"
La Table de Chine,"7 Place de Catalogne, 75014 Paris France"
Charivari,"143 boulevard Raspail, 75006 Paris France"
Erawan,"76 rue de la Federation, 75015 Paris France"
Gyoza House,"20 rue de Chateaudun, 75009 Paris France"
Le Distrait,"26 rue de la Lune Métro Bonne Nouvelle, 75002 Paris France"
Los Gueros,"28 rue Saint Ambroise, 75011 Paris France"
Oggi,"15 rue d Odessa, 75014 Paris France"
Rural by Marc Veyrat,"2 Place de la Porte Maillot, 75017 Paris France"
Pastasuta,"2 Rue de la Coutellerie, 75004 Paris France"
Clown Bar,"114 rue Amelot, 75011 Paris France"
Teawan,"129 avenue de Choisy, 75013 Paris France"
Furahaa,"78 rue Reaumur, 75002 Paris France"
La Mere Agitee,"21 rue Campagne Premiere, 75014 Paris France"
Anatolie Durum,"9 rue de la Harpe, 75005 Paris France"
Maison Noura au Printemps Haussmann,"58 boulevard Haussmann 1er étage du Printemps de la Femme, 75009 Paris France"
Ban Bua,"28 B rue de Richelieu, 75001 Paris France"
la belle ronde,"19 rue Daguerre, 75014 Paris France"
Jango,"47 avenue de Saint Mande, 75012 Paris France"
Cafe L' Imprimerie,"29 rue Coquilliere, 75001 Paris France"
Le Duc,"243 boulevard Raspail, 75014 Paris France"
Bao Bao,"4 rue Alexandre Dumas, 75011 Paris France"
Meme Viet,"68 rue Lamarck, 75018 Paris France"
BMK Folie-Bamako,"40 rue Jean Pierre Timbaud, 75011 Paris France"
Au Rendezvous de Montmartre,"15 rue la Vieuville, 75018 Paris France"
Exterieur Quai,"5 rue d Alsace, 75010 Paris France"
Darius Artisan Gaufrier,"48 Rue Marguerite de Rochechouart, 75009 Paris France"
BOBBY,"29 rue Lambert, 75018 Paris France"
Le Restaurant Chinois,"33 rue Caillaux, 75013 Paris France"
Le Bistrot Des Gascons,"26 avenue de Tourville, 75007 Paris France"
O'Bourpif,"9 rue Pergolese Métros: Porte Maillot, Argentine, Victor Hugo, 75116 Paris France"
